package_name,ecosystem,max_entropy,avg_entropy,eval_count,exec_count,base64_count,network_imports,label
Dante2-0.5.11,NPM,5.221200533630002,4.85856598288518,0,0,0,0,0
dchart-bar-gradient-0.1.0,NPM,5.5532804075529185,4.0110394021278815,0,0,0,0,0
dchart-force-image-with-pie-0.0.5,NPM,7.572153381121318,4.996142390045211,0,0,0,0,0
ddb-calc-1.0.5,NPM,5.309893186922127,5.0953791819704755,0,0,0,0,0
de-ionic-calendar-0.4.21,NPM,5.336431141553667,4.407817127453559,0,0,0,0,0
deflex-sdk-js-2.0.5,NPM,5.816402488450443,4.934474656232037,0,0,0,0,0
delatin-0.2.0,NPM,5.095835308889296,4.766669829606974,0,0,0,0,0
delay-keypress-0.0.4,NPM,5.262092542051169,4.776144155189473,0,0,0,0,0
devtools-1.4.0,NPM,5.311366587089961,4.656513783501805,0,0,0,0,0
diagram-js-grid-bg-1.1.0,NPM,7.993917268238171,5.516201161935357,0,0,0,0,0
dialog-size-2.0.0,NPM,7.966074530678647,4.928451127486639,0,0,0,0,0
digital-digit-2.0.2,NPM,5.135650123675653,4.82285641485202,0,0,0,0,0
dile-overlay-mixin-3.0.2,NPM,5.045587854686474,4.7142260055325735,0,0,0,0,0
distributions-normal-cdf-0.0.2,NPM,5.200421559162109,5.06740816821357,0,0,0,0,0
divinity-labs-cbd-gummies-benefits-and-result-1.0.0,NPM,5.414151193139679,5.009348506396637,0,0,0,0,0
dmx-websocket-2.0.1,NPM,5.098923709951874,4.983706371762957,0,0,0,0,0
dogeauth-0.4.1,NPM,5.450540800047674,4.828847811781644,0,0,0,0,0
doloremque-eveniet-doloremque-1.0.0,NPM,5.098928574721774,4.622838029472524,0,0,0,0,0
dom-css-2.1.0,NPM,5.09902234191617,4.805341370345733,0,0,0,0,0
dom-zoom-1.1.1,NPM,5.235153993670646,5.121085291178529,0,0,0,0,0
dot-line-1.0.2,NPM,7.964565368563221,5.111004968754346,19,4,0,0,0
dota2-info-0.1.2,NPM,5.0966155327853,4.637509975523283,0,0,0,0,0
dowload_ebok_dont_be_cruel_2_in_1_edition_vol_2_by_yonezou_nekota_obxqs-1.0.4,NPM,5.40870809229934,5.1597797294692,0,0,0,0,0
dowload_ebok_the_clintons_war_on_women_by_roger_stone_robert_morrow_sxmxw-2.0.6,NPM,5.079244284003716,4.976920131914918,0,0,0,0,0
doxity-solc-0.6.1,NPM,5.493764691658227,4.872956491135221,0,4,0,0,0
draw-0.6.1,NPM,5.278170327777621,4.600878377900913,0,0,0,0,0
dropzone-1.4.0,NPM,5.137288836481365,4.682100323940113,0,0,0,0,0
easing-funcs-0.2.0,NPM,4.827757067690106,4.321126402517909,0,0,0,0,0
easing-utils-1.0.0,NPM,5.070516828001995,4.5362104399940755,0,0,0,0,0
easyfracs-1.0.5,NPM,5.174068258561313,4.786409176394584,6,0,0,0,0
eco-1.1.0-rc-3,NPM,5.773282193918218,4.444939261901023,0,1,0,0,0
edge-split-1.0.2,NPM,5.004006486561713,4.663901902185525,0,0,0,0,0
either-0.0.4,NPM,4.990413036604056,4.4847190997208095,0,0,0,0,0
electron-audio-record-1.0.6,NPM,7.923045208808535,5.128460400173595,0,1,0,0,0
electron-qeda-1.0.2,NPM,5.393106938799956,4.5353119922858705,0,0,0,0,0
embedly-lookup-0.0.2,NPM,5.395540895454391,4.681901971606617,0,0,0,0,0
ember-parallax-0.3.0,NPM,5.063375943215498,4.501257831017297,0,0,0,0,0
ember-simple-tree-another-0.9.0,NPM,5.111080492065618,4.547136089747646,0,0,0,0,0
engage-particle-system-1.0.5,NPM,5.05991230711331,4.917777858865307,0,0,0,0,0
envelope-follower-1.0.8,NPM,5.3836135735465405,4.602047243756183,0,1,0,0,0
epubjs-rn-0.1.3,NPM,5.476443386922183,4.869587369832827,0,0,0,0,0
epubjs-rn-0.3.21,NPM,5.355884339012221,4.744319493987202,0,0,0,0,0
es-sa-1.0.6,NPM,5.834486051728645,4.948917546827554,0,0,0,0,0
eslint-config-r1ckyrockz-1.0.0,NPM,5.092599223315956,4.4904549242809555,0,0,0,0,0
eurocoin-1.0.12,NPM,5.544576313968225,4.894058640723189,0,0,0,0,0
express-uglify2-2.0.7,NPM,5.076287444964015,4.194906364870445,0,0,0,0,0
extension-migrations-1.0.1,NPM,4.702137102245658,4.637550903469344,0,0,0,0,0
extra-sitemap-0.2.5,NPM,5.149055893030483,4.720058694462089,0,0,0,0,0
ez-math.js-1.1.7,NPM,4.936380053906822,4.743641615591713,0,0,0,0,0
failsafe-0.1.2,NPM,5.0936522079177,4.623108428964678,0,0,0,0,0
